customer_id,name,age,gender,region,income,churn,total_orders,total_spent,avg_order_value,first_order_date,last_order_date,order_id,order_amount,order_date,product_category,payment_method
1000,Lindsey Hernandez,56.0,Male,0,81832.0,0.0,1.0,3990.0,3990.0,2023-11-05,2023-11-05,793.0,3990.0,2023-11-05,Clothing,Cash
1001,Lauren Gutierrez,69.0,Male,East,65486.0,0.0,3.0,14557.0,4852.0,2023-11-26,2025-07-22,33.0,1553.0,2024-02-16,Books,Cash
1001,Lauren Gutierrez,69.0,Male,East,65486.0,0.0,3.0,14557.0,4852.0,2023-11-26,2025-07-22,1798.0,3340.0,2025-07-22,Electronics,UPI
1001,Lauren Gutierrez,69.0,Male,East,65486.0,0.0,3.0,14557.0,4852.0,2023-11-26,2025-07-22,1855.0,9664.0,2023-11-26,Home,Credit Card
1002,Sharon Torres,46.0,Female,West,27209.0,0.0,2.0,3335.0,1667.0,2023-10-29,2025-03-16,750.0,750.0,2025-03-16,Electronics,Credit Card
1002,Sharon Torres,46.0,Female,West,27209.0,0.0,2.0,3335.0,1667.0,2023-10-29,2025-03-16,1559.0,2585.0,2023-10-29,Electronics,Credit Card
1003,Michael Fitzpatrick,32.0,Male,East,42736.0,0.0,4.0,8204.0,2051.0,2024-01-16,2025-01-01,243.0,2545.0,2024-01-16,Electronics,Net Banking
1003,Michael Fitzpatrick,32.0,Male,East,42736.0,0.0,4.0,8204.0,2051.0,2024-01-16,2025-01-01,312.0,2601.0,2024-09-24,Grocery,UPI
1003,Michael Fitzpatrick,32.0,Male,East,42736.0,0.0,4.0,8204.0,2051.0,2024-01-16,2025-01-01,324.0,2210.0,2025-01-01,Electronics,Cash
1003,Michael Fitzpatrick,32.0,Male,East,42736.0,0.0,4.0,8204.0,2051.0,2024-01-16,2025-01-01,1675.0,848.0,2024-12-11,Books,UPI
1003,Michael Fitzpatrick,32.0,Male,East,42736.0,0.0,4.0,8204.0,2051.0,2024-01-16,2025-01-01,243.0,2545.0,2024-01-16,Electronics,Net Banking
